Year,Month,Europe Flights,Intercontinental Flights,Total Flights,Europe Passengers,Intercontinental Passengers,Total Passengers
2024,March,30958,7265,38223,3662128,1563550,5225678
2024,April,32100,7041,39141,3913794,1556638,5470432
2024,May,34602,7441,42043,4350862,1624832,5975694
2024,June,33555,7302,40857,4320383,1637664,5958047
2024,July,34669,7783,42452,4535569,1765232,6300801
2024,August,35277,7841,43118,4618422,1798617,6417039
2024,September,33180,8598,41778,4170524,1860289,6030813
2024,October,34487,7518,42005,4371263,1667703,6038966
2024,November,29574,7014,36588,3572442,1498744,5071186
2024,December,30203,7246,37449,3578117,1586740,5164857
